Index,Image_ID,Breed,Chest_Girth_cm,Back_Length_cm,Withers_Height_cm,Recommended_Size,Fit_Ratio,Sizing_Verdict,3D_Mesh_OBJ_Path,VTON_Image_PNG_Path
54,golden_golden_retriever_dog_show_bing_00053,Golden Retriever,83.8,49.5,66.2,L,0.974,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00053_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00053_vton_L.png
55,golden_golden_retriever_dog_show_bing_00054,Golden Retriever,86.2,42.4,62.1,L,1.002,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00054_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00054_vton_L.png
56,golden_golden_retriever_dog_show_bing_00055,Golden Retriever,83.9,42.5,65.9,L,0.976,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00055_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00055_vton_L.png
57,golden_golden_retriever_dog_show_bing_00056,Golden Retriever,103.8,33.0,61.8,XL,1.048,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00056_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00056_vton_XL.png
58,golden_golden_retriever_dog_show_bing_00057,Golden Retriever,84.4,62.0,84.2,L,0.981,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00057_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00057_vton_L.png
59,golden_golden_retriever_dog_show_bing_00058,Golden Retriever,101.9,55.1,67.5,XL,1.029,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00058_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00058_vton_XL.png
60,golden_golden_retriever_dog_show_bing_00059,Golden Retriever,96.2,39.3,63.8,XL,0.972,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00059_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00059_vton_XL.png
61,golden_golden_retriever_dog_show_bing_00060,Golden Retriever,86.5,59.6,80.2,L,1.006,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00060_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00060_vton_L.png
62,golden_golden_retriever_dog_show_bing_00061,Golden Retriever,140.6,51.8,69.5,XL,1.42,Tight,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00061_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00061_vton_XL.png
63,golden_golden_retriever_dog_show_bing_00062,Golden Retriever,77.2,34.0,58.3,M,1.029,Good Fit,D:\barc_3d_full_dataset_outputs\golden\3d_meshes\golden_golden_retriever_dog_show_bing_00062_3d_mesh.obj,D:\barc_3d_full_dataset_outputs\golden\vton_images\golden_golden_retriever_dog_show_bing_00062_vton_M.png
