index,breed,source_image,output_image,garment_name,chest_girth_cm,back_length_cm,withers_height_cm,recommended_size,physical_fit_ratio,fit_verdict,processing_time_sec
108,labrador,00045.jpg,00045_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,89.4,59.5,74.2,L,1.04,Good Fit,1.13
109,labrador,00046.jpg,00046_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,88.2,56.7,72.7,L,1.026,Good Fit,1.14
110,labrador,00047.jpg,00047_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,152.2,57.6,78.6,XL,1.537,Tight,1.13
111,labrador,00048.jpg,00048_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,99.6,45.4,65.3,XL,1.006,Good Fit,1.13
112,labrador,00049.jpg,00049_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,98.3,59.8,79.8,XL,0.993,Good Fit,1.11
113,labrador,00050.jpg,00050_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,103.1,51.7,68.5,XL,1.041,Good Fit,1.11
114,labrador,00051.jpg,00051_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,116.7,65.2,71.6,XL,1.179,Tight,1.13
115,labrador,00052.jpg,00052_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,87.2,52.6,68.8,L,1.014,Good Fit,1.28
116,labrador,00053.jpg,00053_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,86.5,61.0,79.5,L,1.006,Good Fit,1.22
117,labrador,00054.jpg,00054_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,95.7,23.8,76.3,XL,0.967,Good Fit,1.13
118,labrador,00055.jpg,00055_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,95.0,135.7,77.7,XL,0.96,Good Fit,1.13
119,labrador,00056.jpg,00056_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,91.6,74.2,65.2,L,1.065,Tight,1.13
120,labrador,00057.jpg,00057_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,96.0,33.2,66.0,XL,0.97,Good Fit,1.13
121,labrador,00058.jpg,00058_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,87.6,40.0,71.6,L,1.019,Good Fit,1.14
122,labrador,00059.jpg,00059_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,101.9,52.4,73.1,XL,1.029,Good Fit,1.21
123,labrador,00060.jpg,00060_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,99.7,135.4,77.9,XL,1.007,Good Fit,1.15
124,labrador,00061.jpg,00061_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,81.2,43.9,61.6,L,0.944,Good Fit,1.12
125,labrador,00062.jpg,00062_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,92.0,51.3,71.7,L,1.07,Tight,1.11
126,labrador,00063.jpg,00063_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,92.4,60.5,73.1,L,1.074,Tight,1.14
127,labrador,00064.jpg,00064_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,91.8,50.6,65.0,L,1.067,Tight,1.14
128,labrador,00065.jpg,00065_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,90.1,55.6,75.5,L,1.048,Good Fit,1.11
129,labrador,00066.jpg,00066_yellow_raincoat_aligned_tryon.png,Ruffwear Sun Shower Yellow Raincoat,85.8,58.4,77.2,L,0.998,Good Fit,1.11
